t,H,S_total,Phi_avg,Gini
0,603.0228881931286,76.7571790153729,0.7379499535115621,-0.9860597953748691
1,674.7007685972723,112.26996351537267,0.7328387479010189,-0.9925994937893375
2,747.9900886234426,135.35024539322447,0.727789227658778,-0.994968902270495
3,846.5273616834634,163.44662070943332,0.7227256864394369,-0.9962323813457757
4,933.3651759232324,183.41646946778013,0.7176852021775368,-0.9971461082639622
5,1083.960925929394,211.6424269820748,0.7127551970692088,-0.9977778837146007
6,1253.3936818261684,238.71972003131665,0.7078637530038082,-0.9981836855615017
7,1419.0333746238043,263.76706678460755,0.7030848436418929,-0.998459248270678
8,1604.3361628519845,289.30311089500304,0.698472460276086,-0.9986321367929044
9,1794.0138205889468,314.06067286608607,0.6938038990083197,-0.9987739347304645
10,2016.5247123173624,342.27187833695064,0.6891529620747039,-0.9988705930249965
11,2255.260139872621,363.1769527838434,0.6844713359725418,-0.9989408799707985
12,2499.865565599304,382.11186537345355,0.679863255821176,-0.9989986469868816
13,2719.3437578027592,406.4057326537757,0.6753784653010793,-0.9990409365839306
14,2990.453017195627,425.22678043564537,0.6707876431011133,-0.9990834037506346
15,3305.7297163660883,456.2526850681255,0.6662096921996866,-0.9991130349518382
16,3625.483775707217,479.80794523401124,0.6617942753094929,-0.9991362526886997
17,3951.3860469407186,499.8078625592512,0.657356857006605,-0.9991586083062765
18,4398.359189899173,534.7039139079469,0.6530749824314825,-0.9991788208626836
19,4911.867028574622,571.0080725306898,0.6488414485557371,-0.9991941689671415
20,5501.302944106958,608.8238532927749,0.6445392865295011,-0.9992111914731401
21,6171.37120968736,644.9107893064197,0.6403685936408939,-0.999219603186046
22,6713.472595971242,667.5157842311821,0.6361881813274083,-0.9992396566006012
23,7476.72401722139,700.9230174762081,0.6319712747190077,-0.9992554559229117
24,8319.795761208807,736.7185118119728,0.6278666109153376,-0.9992659972506139
25,9182.61666593694,770.8022114111412,0.6236547544817624,-0.9992746246707312
26,10112.668666136708,810.7613305567014,0.6197052149769392,-0.9992885355093739
27,11093.862401204791,841.4279488608771,0.6158046789032565,-0.9992996491958965
28,12381.771987776574,884.1742127404689,0.6119142674553522,-0.9993062886531847
29,13613.430562325168,923.9365951333031,0.6079878879584677,-0.9993120976252554
30,14952.901643951252,966.7246469370915,0.6041261920971747,-0.9993212487664113
31,16216.296398532675,999.5367404563902,0.6004682665284482,-0.999330883041265
32,17666.069004198227,1029.5057749851146,0.596712642416655,-0.9993399536009276
33,19142.249579838746,1064.2950889229091,0.5927479290910054,-0.99934768122667
34,20935.1712065808,1115.7107696921066,0.5891702620116116,-0.9993550347667166
35,22324.87052572227,1146.8120443374476,0.5856325383435412,-0.9993645461218545
36,24226.45732815463,1194.101982465754,0.5818557915753813,-0.9993730144571504
37,25948.293784233414,1225.879596303348,0.5784417232356663,-0.9993817296068823
38,28406.8315636394,1273.8918304433184,0.5749686226376922,-0.9993843683944658
39,30395.40633197077,1310.0400948398167,0.571553171212754,-0.9993875211974828
40,32680.153412607113,1357.649334934556,0.5680889167380836,-0.9993918751620168
41,35011.988745086295,1405.7221710856702,0.5647848370954444,-0.9993955085371705
42,37403.96482097222,1452.044172074767,0.5615158014830335,-0.9993980238153127
43,39988.22140763625,1498.6488910869875,0.5582911566276718,-0.9993990583252023
44,42738.11961396858,1547.7455758025312,0.5548952079308171,-0.9994004232537529
45,44943.827557462806,1583.493562423665,0.5516720208965447,-0.9994038594121805
46,48023.452467847244,1635.4891474175731,0.5484576666256068,-0.9994029558659804
47,51147.03726328117,1673.0922561108712,0.5451999881918239,-0.999403881092158
48,54593.2932996068,1723.9681898734534,0.542019602967322,-0.9994044669423683
49,57996.59392574823,1766.590477161981,0.5388759486340112,-0.9994024651437391
50,61109.24220993104,1813.795638566433,0.5358855010543916,-0.9994008874261281
51,64578.27527465058,1858.2192557438736,0.5327700148554831,-0.9994046426082647
52,68469.27092277269,1911.2828115984057,0.5297055938599755,-0.9994062013895406
53,73012.16713612144,1964.2292422948517,0.5267450241236673,-0.9994060628809122
54,76421.79053804454,2006.0405936823713,0.5236445258394354,-0.9994075132104949
55,80297.78478620775,2048.1341352785494,0.5206672066128883,-0.9994084054785966
56,85060.726195606,2105.0940904316667,0.5178027542716748,-0.9994070131240994
57,90224.83029958955,2164.8569543733583,0.515095996265756,-0.9994056271745251
58,94768.02609875202,2208.8665393307356,0.5122117871550678,-0.9994042088294375
59,99645.88085124546,2256.9597621642183,0.509424069982067,-0.9994020118903065
60,104628.94376772987,2303.8976328674453,0.506365496967272,-0.999402383363515
61,109900.62889696323,2349.8333831195578,0.5034691779128806,-0.999403678406077
62,115753.83494106433,2412.0553341258274,0.5005650095599882,-0.9994023046624144
63,121281.19207438719,2458.3519137782314,0.4978977692089312,-0.999401314936277
64,127207.04737366056,2507.206334249864,0.49530638186344894,-0.9993972984926811
65,133000.45904574258,2555.843592842701,0.49249850861802286,-0.9993948315700382
66,139596.96513879838,2610.178323438777,0.48973048948105,-0.9993934465424776
67,145409.69267926202,2661.7236158579,0.4869344366914454,-0.9993918128981099
68,151287.51125667235,2709.6285083908065,0.48433404355432536,-0.9993886617037349
69,157537.87887332845,2764.463323491258,0.48164119405698735,-0.9993906042887385
70,164037.58744951108,2804.446645419056,0.4789070208933582,-0.9993913202522188
71,171350.40767998528,2861.387953748168,0.47640224444912166,-0.9993903050637483
72,178600.2603193636,2912.507109585036,0.4740182971262303,-0.999391657634743
73,186067.06459414965,2959.4044176903767,0.4716185719725003,-0.9993933148764796
74,193127.52137160063,3000.123405902558,0.46893071321317165,-0.999393012249614
75,201880.30627854378,3061.8898694769255,0.4665000981136741,-0.9993918120617744
76,209977.9382255704,3116.184473085878,0.463982719934735,-0.9993918460907045
77,218672.65126744675,3181.5068566990667,0.4616092099935415,-0.9993941568635785
78,227792.85135295137,3242.2650033848354,0.45946643908525736,-0.9993934396419687
79,236922.92284240562,3297.9132221038453,0.4570758754827597,-0.9993944253383023
80,244625.27492323736,3343.843354511883,0.45483046508891023,-0.9993968307132277
81,253737.97615792148,3403.5104150855836,0.45271443635909714,-0.9993992903231066
82,262856.5973091949,3460.859319933286,0.4505993044699015,-0.999401759713107
83,273318.3240128008,3513.9678469240544,0.4481809570056867,-0.9994019995975486
84,282329.9642180471,3575.3223178729145,0.44614790535193793,-0.9994045313173595
85,292803.46555932914,3634.1053490318714,0.44404036594466634,-0.9994085612953856
86,303668.1189521089,3700.9184981371113,0.4419354596052698,-0.9994120303621159
87,313945.04551989544,3756.4958690926373,0.439817734238906,-0.99941649612282
88,325694.2408224725,3819.9899974527566,0.4375649171760344,-0.9994204879001292
89,335794.0513035719,3871.18077839666,0.4355076403187418,-0.9994255857402592
90,346205.6845470019,3920.2670902900213,0.43352315578553285,-0.9994316208325078
91,358005.060359904,3974.937667032759,0.43152266149465535,-0.9994376850654405
92,370377.51323037985,4038.6969708261986,0.4294835788865601,-0.9994447461952625
93,383709.4720898088,4104.611799858522,0.42762255456466647,-0.9994517363053746
94,395596.5095746599,4162.400659400651,0.42564423566606147,-0.9994597283590547
95,407754.3346995499,4219.666521057146,0.4236676128082733,-0.9994295043449298
96,420452.09488371504,4274.753204065801,0.42160349340635733,-0.999435303677555
97,433001.6557133329,4330.086117834505,0.4197114884898173,-0.9994415465213368
98,447214.92753063905,4390.721596408936,0.41776273046413936,-0.9994459100948354
99,460674.3532779656,4444.180366717733,0.4157579965287104,-0.999450047698574
100,475050.0695896908,4514.5723491028975,0.41379951427698997,-0.9994537935315881
101,490644.3297351429,4582.505858282934,0.4119737549860893,-0.9994580408014632
102,505552.5869535118,4642.686569412965,0.4102928144911662,-0.9994635337403739
103,520452.5415529631,4703.71106712208,0.40842746286063175,-0.9994693471886604
104,535654.1791395015,4767.31631831618,0.40656992240970324,-0.9994749545187129
105,552684.2958682117,4838.2165113436,0.4047989255730351,-0.9994793574793872
106,569016.3117081017,4903.985822609996,0.4027930004156278,-0.9994841267610154
107,584952.1889332689,4967.549426158407,0.40101365323621896,-0.9994869712519082
108,601331.9002044966,5019.65510495591,0.39915322223311944,-0.9994903740748169
109,619265.0225626053,5085.922133660378,0.39737916004376367,-0.9994941239049587
110,637583.7230754895,5154.113270870689,0.3956765462715633,-0.9994980815687594
111,653192.4548026881,5211.628444302585,0.39410068260548015,-0.9995024142938473
112,669858.7614933838,5281.037576688226,0.39243538180446225,-0.9995065965644708
113,688750.148945914,5353.510169278582,0.39065848877998627,-0.9995108047328154
114,708700.8908324271,5419.825392646247,0.38912602196888507,-0.9995143403132668
115,729269.9144880906,5489.190876560215,0.38744375860646635,-0.9995187833611843
116,749032.5889236757,5550.30576276728,0.3859188240204912,-0.9995229269334672
117,769820.1734647246,5619.793931435393,0.38432576899570525,-0.9995256462447811
118,790254.0894108461,5688.1457346345605,0.38277228959271736,-0.9995280677329783
119,809805.7564615564,5753.339698353288,0.3812684402808973,-0.9995308680286025
120,828502.3558991246,5815.683686250961,0.3797832435256164,-0.9995337382248651
121,848762.8218180031,5877.162568024907,0.3783046436041204,-0.9995364416484306
122,865852.8411771791,5928.8374099122,0.37667175188202107,-0.9995392407458803
123,885826.73535343,5996.429419091545,0.3752045676590396,-0.9995415782079908
124,907868.5481706115,6069.9547420680965,0.37367243955180496,-0.9995444245542131
125,927490.5053398723,6130.154617399148,0.3722454096105037,-0.999547069668078
126,949937.7579408786,6199.080688766322,0.37088869981913164,-0.9995499657984851
127,969564.6773993097,6266.54396479597,0.36961796675578384,-0.9995525324862251
128,993564.9263001404,6334.99974888003,0.3681033505772598,-0.9995554558999102
129,1015900.0062815244,6393.689632377442,0.36681055103760696,-0.9995579496955412
130,1039117.4558959455,6455.558516911102,0.3654557060766818,-0.9995603912011805
131,1065785.3315838447,6536.115351958218,0.3641149542692276,-0.9995624507746794
132,1089624.0875412538,6601.813605280396,0.3626396871294618,-0.9995652310688627
133,1112556.1668687765,6663.481859626454,0.36124577614292563,-0.9995682760587113
134,1135106.168676115,6729.919312990136,0.3599892349993011,-0.9995714533679216
135,1163285.6234843119,6812.16171195663,0.35867244474753796,-0.9995736715848498
136,1191878.389959308,6886.450993778573,0.35745443573498675,-0.9995771106613125
137,1219415.9718198073,6961.188617044764,0.35617529508219176,-0.9995802259218031
138,1243569.4449428862,7025.149306214705,0.35493310588238347,-0.9995836298424122
139,1269927.4023932216,7093.869138376522,0.35372965716219257,-0.9995865688017842
140,1299401.3147229776,7165.616570996817,0.35246385933306174,-0.9995897840026796
141,1325725.7479371245,7231.533414695278,0.3513025000736066,-0.9995929183153519
142,1353796.8731000172,7308.053775871849,0.35013032585560994,-0.9995956065767116
143,1383095.0103904624,7380.1735785738565,0.34888242170081296,-0.9995975261369485
144,1413530.9305410455,7456.306498418501,0.3475757831409902,-0.9995995066495159
145,1444348.6546943143,7535.073843253975,0.34639741601033774,-0.9996018944168168
146,1474139.6962687846,7601.634201852189,0.34517041139065774,-0.9996044788696674
147,1504931.213519527,7677.416533983481,0.3440914425865319,-0.9996071635139266
148,1536858.1026399657,7749.552356061071,0.3428647124920121,-0.9996098342306964
149,1568041.2361647172,7809.310621670586,0.3418101989882041,-0.9996134842035563
150,1599210.2198347466,7868.790298039238,0.34063452110925935,-0.9996167061521247
151,1630656.640583154,7946.638474218912,0.3396438706197151,-0.9996004532871825
152,1666017.0155262016,8024.895299139505,0.3386404157770274,-0.9996029364568052
153,1698466.5036555973,8102.307595554706,0.3374064605287058,-0.9996053552359047
154,1725009.4354721378,8160.861764195623,0.3363453249357215,-0.9996080908161257
155,1758370.387848382,8231.467174587251,0.33514684585727267,-0.9996106671504955
156,1793064.5595171477,8301.334360445117,0.3342229490905882,-0.9995727331179034
